DOY	LAI	umid	rh	ta	tmax	tmin	vpd	rn	rs	par	sw	tm	ano
138 	0,66 	0,77 	46,24 	20,63 	27,90 	11,50 	1,37 	10,82 	22,94 	11,24 	10,92 	0,70 	3
139 	0,67 	0,61 	29,08 	22,92 	30,80 	15,60 	2,20 	10,49 	24,84 	12,17 	10,89 	0,60 	3
140 	0,69 	0,73 	43,60 	21,82 	30,90 	10,60 	1,62 	11,45 	25,07 	12,29 	10,85 	0,77 	3
141 	0,71 	0,75 	35,45 	23,25 	31,40 	13,60 	1,99 	11,17 	25,72 	12,60 	10,83 	0,53 	3
142 	0,74 	1,03 	44,07 	22,68 	30,50 	12,40 	1,62 	11,41 	24,68 	12,09 	10,79 	0,65 	3
144 	0,79 	1,05 	65,01 	19,52 	26,90 	14,70 	0,91 	11,25 	21,67 	10,62 	10,69 	0,62 	3
145 	0,82 	1,07 	36,47 	19,41 	25,90 	13,00 	1,54 	10,93 	24,90 	12,20 	10,66 	0,76 	3
146 	0,85 	0,63 	36,11 	19,93 	31,70 	7,10 	1,82 	11,52 	26,37 	12,92 	10,61 	0,75 	3
147 	0,89 	0,76 	31,63 	21,63 	31,30 	11,10 	2,01 	10,91 	24,92 	12,21 	10,55 	0,75 	3
148 	0,92 	0,72 	34,20 	23,65 	34,70 	11,00 	2,25 	11,37 	25,36 	12,43 	10,48 	0,75 	3
149 	0,96 	0,58 	34,67 	25,92 	36,20 	13,60 	2,47 	11,09 	23,63 	11,58 	10,43 	0,90 	3
150 	1,01 	0,69 	39,30 	26,47 	34,90 	16,70 	2,27 	9,84 	19,47 	9,54 	10,33 	0,92 	3
151 	1,05 	0,83 	47,16 	22,43 	26,40 	17,20 	1,43 	5,82 	8,51 	4,17 	10,23 	0,77 	3
152 	1,10 	0,57 	53,34 	22,10 	30,70 	13,20 	1,38 	11,82 	23,72 	11,62 	10,14 	0,82 	3
153 	1,15 	0,75 	53,74 	24,83 	32,00 	18,70 	1,60 	9,47 	17,82 	8,73 	10,00 	0,85 	3
154 	1,21 	0,91 	52,37 	25,01 	31,10 	19,40 	1,61 	10,84 	20,67 	10,13 	9,80 	0,79 	3
155 	1,26 	0,62 	72,78 	22,43 	27,30 	17,50 	0,77 	8,22 	15,04 	7,37 	9,65 	0,78 	3
156 	1,32 	0,46 	66,28 	23,11 	30,40 	16,70 	1,05 	9,58 	17,55 	8,60 	9,52 	0,81 	3
157 	1,38 	0,81 	62,73 	20,31 	26,40 	16,00 	0,98 	8,41 	15,88 	7,78 	9,40 	0,86 	3
158 	1,44 	0,56 	49,35 	20,82 	29,20 	10,40 	1,35 	12,20 	25,98 	12,73 	9,23 	0,90 	3
159 	1,50 	0,82 	30,43 	24,52 	32,00 	17,20 	2,34 	11,37 	26,41 	12,94 	9,04 	0,78 	3
160 	1,56 	0,69 	28,34 	21,46 	31,00 	10,20 	2,06 	11,43 	27,53 	13,49 	8,83 	0,98 	3
161 	1,63 	0,61 	32,41 	21,95 	31,70 	10,80 	2,02 	11,49 	26,21 	12,84 	8,58 	1,02 	3
162 	1,69 	0,66 	36,25 	23,51 	32,70 	12,80 	2,05 	11,84 	26,42 	12,95 	8,30 	0,96 	3
163 	1,75 	0,59 	37,00 	24,53 	32,10 	15,70 	2,07 	10,89 	22,66 	11,10 	8,05 	0,89 	3
164 	1,81 	0,64 	49,12 	22,43 	27,50 	18,70 	1,48 	6,66 	11,67 	5,72 	7,85 	0,88 	3
165 	1,87 	0,63 	56,90 	22,87 	27,30 	18,80 	1,25 	7,97 	14,99 	7,35 	7,71 	0,88 	3
166 	1,93 	0,46 	53,42 	24,00 	31,70 	15,80 	1,51 	10,98 	20,79 	10,18 	7,52 	0,86 	3
167 	1,99 	0,77 	53,01 	24,23 	34,30 	17,60 	1,74 	11,33 	21,13 	10,35 	7,31 	0,71 	3
168 	2,04 	0,59 	47,50 	24,84 	34,50 	15,70 	1,90 	12,59 	25,78 	12,63 	7,11 	0,81 	3
169 	2,09 	0,55 	50,73 	22,45 	27,00 	18,20 	1,39 	6,32 	10,36 	5,08 	6,99 	0,60 	3
171 	2,19 	0,60 	64,59 	20,34 	29,50 	11,90 	0,98 	12,99 	25,83 	12,66 	6,92 	0,43 	3
172 	2,23 	0,65 	52,55 	23,60 	32,10 	15,40 	1,55 	11,80 	22,85 	11,20 	6,95 	0,67 	3
173 	2,27 	0,68 	42,12 	24,56 	33,50 	14,40 	1,97 	12,29 	26,26 	12,87 	6,98 	0,74 	3
174 	2,31 	0,67 	47,96 	25,41 	32,90 	16,20 	1,78 	11,41 	22,21 	10,88 	7,00 	0,84 	3
175 	2,34 	0,84 	50,99 	26,41 	30,20 	22,40 	1,72 	9,74 	18,37 	9,00 	7,03 	0,86 	3
176 	2,38 	0,55 	70,83 	23,18 	28,00 	19,10 	0,87 	7,54 	13,38 	6,56 	7,03 	0,92 	3
177 	2,41 	0,53 	58,27 	25,40 	33,70 	17,00 	1,50 	11,70 	21,51 	10,54 	7,01 	1,01 	3
178 	2,43 	0,59 	47,78 	25,39 	32,70 	17,00 	1,80 	9,43 	17,99 	8,82 	7,02 	1,01 	3
179 	2,46 	0,59 	56,63 	23,55 	29,30 	19,60 	1,38 	6,37 	10,27 	5,03 	7,02 	0,93 	3
181 	2,50 	0,72 	79,19 	22,06 	29,10 	17,50 	0,63 	10,49 	18,49 	9,06 	6,97 	0,92 	3
182 	2,52 	0,75 	80,01 	21,48 	29,00 	17,60 	0,60 	11,76 	20,65 	10,12 	6,95 	0,88 	3
183 	2,54 	0,55 	74,27 	22,66 	33,40 	16,40 	0,90 	13,15 	23,48 	11,50 	6,94 	1,05 	3
211 	2,69 	0,45 	72,66 	26,83 	35,30 	19,90 	1,10 	13,54 	24,16 	11,84 	8,33 	1,21 	3
212 	2,69 	0,59 	64,66 	27,03 	35,20 	19,50 	1,41 	12,89 	23,67 	11,60 	8,18 	1,24 	3
213 	2,69 	0,70 	60,57 	28,12 	34,50 	21,50 	1,58 	12,22 	22,40 	10,98 	8,02 	1,24 	3
215 	2,70 	0,53 	62,61 	28,28 	34,50 	22,60 	1,54 	11,65 	20,63 	10,11 	7,76 	1,23 	3
221 	2,70 	0,63 	77,99 	21,21 	28,10 	16,10 	0,62 	12,13 	22,64 	11,09 	7,47 	1,20 	3
222 	2,70 	0,39 	77,18 	22,18 	30,00 	16,10 	0,69 	10,33 	18,14 	8,89 	7,44 	1,32 	3
223 	2,70 	0,43 	73,65 	21,13 	26,40 	16,80 	0,71 	5,71 	9,00 	4,41 	7,40 	0,95 	3
224 	2,70 	0,50 	74,64 	21,33 	25,80 	17,90 	0,68 	7,12 	12,98 	6,36 	7,37 	1,15 	3
225 	2,70 	0,58 	75,89 	19,73 	26,70 	14,70 	0,62 	10,88 	20,11 	9,85 	7,34 	1,19 	3
226 	2,70 	0,62 	72,02 	19,25 	31,40 	11,40 	0,83 	12,29 	23,86 	11,69 	7,26 	1,23 	3
227 	2,70 	0,53 	65,71 	21,52 	32,10 	12,10 	1,06 	12,16 	24,34 	11,93 	7,19 	1,31 	3
228 	2,70 	0,42 	71,97 	19,49 	25,10 	15,20 	0,69 	5,65 	9,20 	4,51 	7,15 	1,35 	3
230 	2,70 	0,50 	73,22 	20,34 	31,10 	13,10 	0,81 	11,41 	21,15 	10,36 	7,03 	1,44 	3
231 	2,70 	0,42 	63,86 	21,87 	33,60 	12,20 	1,20 	12,03 	24,11 	11,82 	6,95 	1,38 	3
232 	2,70 	0,51 	59,38 	23,31 	33,20 	14,40 	1,37 	11,36 	22,61 	11,08 	6,87 	1,35 	3
233 	2,70 	0,62 	55,81 	24,64 	32,40 	16,00 	1,48 	10,14 	19,55 	9,58 	6,80 	1,29 	3
234 	2,70 	0,68 	67,93 	23,43 	29,20 	18,90 	1,00 	9,96 	18,27 	8,95 	6,73 	1,31 	3
236 	2,70 	0,74 	64,00 	19,77 	29,30 	13,00 	1,00 	11,41 	24,32 	11,92 	6,56 	0,80 	3
237 	2,70 	0,52 	57,51 	19,05 	29,50 	10,10 	1,14 	10,67 	22,85 	11,20 	6,47 	0,96 	3
241 	2,70 	0,52 	73,35 	22,70 	29,10 	17,30 	0,80 	8,58 	15,59 	7,64 	6,28 	1,39 	3
242 	2,70 	0,60 	71,97 	21,86 	28,00 	17,30 	0,81 	8,67 	15,97 	7,83 	6,25 	1,47 	3
243 	2,70 	0,55 	62,96 	22,45 	30,40 	17,20 	1,17 	10,62 	21,75 	10,66 	6,21 	1,43 	3
245 	2,70 	0,89 	72,72 	19,26 	27,10 	13,90 	0,71 	9,35 	17,84 	8,74 	6,16 	1,26 	3
246 	2,70 	0,42 	65,42 	18,24 	30,50 	9,50 	0,96 	10,77 	23,42 	11,48 	6,11 	1,26 	3
247 	2,70 	0,57 	60,71 	19,69 	30,40 	9,50 	1,09 	10,34 	22,85 	11,19 	6,08 	0,92 	3
248 	2,70 	0,59 	59,64 	21,23 	29,50 	11,40 	1,10 	9,65 	20,52 	10,06 	6,03 	1,11 	3
249 	2,70 	0,73 	66,74 	22,72 	26,10 	19,90 	0,95 	5,65 	10,43 	5,11 	6,00 	1,18 	3
250 	2,70 	0,39 	77,13 	22,68 	30,10 	18,40 	0,73 	8,58 	15,36 	7,52 	5,97 	1,21 	3
251 	2,70 	0,45 	66,28 	21,73 	28,10 	14,60 	0,92 	7,95 	15,34 	7,52 	5,93 	1,12 	3
252 	2,70 	0,58 	68,22 	23,03 	30,00 	16,20 	0,97 	9,05 	17,38 	8,52 	5,87 	1,16 	3
253 	2,70 	0,74 	69,24 	23,13 	29,40 	15,90 	0,91 	8,14 	15,38 	7,54 	5,79 	1,19 	3
